"SEQ_ID","CNCI","LncADeep","lncRNAnet","PLEK","RNAmining"
"ENST00000477740.5|ENSG00000238009.6|OTTHUMG00000001096.2|OTTHUMT00000003688.1|ENST00000477740|ENSG00000238009|491|",1,0,0,0,0
"ENST00000570344.1|ENSG00000224870.9|OTTHUMG00000002908.6|OTTHUMT00000439300.2|MRPL20-AS1-206|MRPL20-AS1|515|",1,0,0,0,0
"ENST00000598846.1|ENSG00000268575.1|OTTHUMG00000183552.1|OTTHUMT00000467163.1|ENST00000598846|ENSG00000268575|5079|",1,1,1,1,0
"ENST00000687047.2|ENSG00000238260.3|OTTHUMG00000000613.1|-|ENST00000687047|ENSG00000238260|1930|",1,0,0,0,0
"ENST00000642026.2|ENSG00000284668.2|OTTHUMG00000192281.2|OTTHUMT00000493388.2|LINC02780-203|LINC02780|758|",1,0,1,0,0
"ENST00000641562.1|ENSG00000284668.2|OTTHUMG00000192281.2|OTTHUMT00000493389.1|LINC02780-202|LINC02780|540|",1,0,0,0,0
"ENST00000641078.1|ENSG00000284668.2|OTTHUMG00000192281.2|OTTHUMT00000493390.1|LINC02780-201|LINC02780|1258|",1,0,1,0,0
"ENST00000635687.1|ENSG00000228526.8|OTTHUMG00000001762.6|OTTHUMT00000488406.2|MIR34AHG-204|MIR34AHG|4211|",1,0,0,0,0
"ENST00000650360.1|ENSG00000285959.1|OTTHUMG00000193407.1|OTTHUMT00000501565.1|ENST00000650360|ENSG00000285959|1469|",1,1,1,1,0
"ENST00000657670.1|ENSG00000228397.3|OTTHUMG00000002754.7|OTTHUMT00000505963.1|LINC01635-205|LINC01635|870|",1,0,0,0,0
"ENST00000448015.1|ENSG00000227050.1|OTTHUMG00000003911.1|OTTHUMT00000011174.1|ENST00000448015|ENSG00000227050|491|",1,1,1,0,0
"ENST00000692012.1|ENSG00000223382.6|OTTHUMG00000003749.16|-|LINC01778-215|LINC01778|623|",1,0,0,0,0
"ENST00000640157.1|ENSG00000284543.1|OTTHUMG00000191824.1|OTTHUMT00000490480.1|LINC01226-206|LINC01226|574|",1,1,1,0,0
"ENST00000657513.1|ENSG00000223944.3|OTTHUMG00000004188.2|OTTHUMT00000528323.1|ENST00000657513|ENSG00000223944|1993|",1,0,0,0,0
"ENST00000622355.1|ENSG00000273637.1|OTTHUMG00000188957.1|OTTHUMT00000478332.1|ENST00000622355|ENSG00000273637|2171|",1,1,1,1,0
"ENST00000456813.3|ENSG00000228436.4|OTTHUMG00000000491.5|OTTHUMT00000001225.1|RRAGC-DT-203|RRAGC-DT|605|",1,0,1,1,0
"ENST00000670076.1|ENSG00000287587.1|OTTHUMG00000194686.1|OTTHUMT00000520728.1|ENST00000670076|ENSG00000287587|1188|",1,0,1,0,0
"ENST00000431986.2|ENSG00000223720.2|OTTHUMG00000007957.2|OTTHUMT00000021839.2|ENST00000431986|ENSG00000223720|651|",1,0,0,0,0
"ENST00000629810.1|ENSG00000236723.2|OTTHUMG00000008939.2|OTTHUMT00000480353.1|ENST00000629810|ENSG00000236723|835|",1,0,0,0,0
"ENST00000585589.5|ENSG00000226759.8|OTTHUMG00000008286.8|OTTHUMT00000022763.2|DAB1-AS1-207|DAB1-AS1|743|",1,0,0,0,0
"ENST00000420811.2|ENSG00000226759.8|OTTHUMG00000008286.8|OTTHUMT00000460041.1|DAB1-AS1-202|DAB1-AS1|703|",1,0,0,0,0
"ENST00000667877.1|ENSG00000226759.8|OTTHUMG00000008286.8|OTTHUMT00000506058.1|DAB1-AS1-228|DAB1-AS1|1097|",1,0,0,0,0
"ENST00000661176.1|ENSG00000226476.7|OTTHUMG00000009978.20|OTTHUMT00000520414.1|LINC01748-213|LINC01748|2625|",1,0,0,1,0
"ENST00000665290.1|ENSG00000231252.4|OTTHUMG00000008422.6|OTTHUMT00000518866.1|ENST00000665290|ENSG00000231252|1264|",1,0,0,0,0
"ENST00000420659.1|ENSG00000229537.7|OTTHUMG00000009147.3|OTTHUMT00000025346.1|LINC01739-202|LINC01739|445|",1,1,1,0,0
"ENST00000641712.1|ENSG00000229537.7|OTTHUMG00000009147.3|OTTHUMT00000493252.1|LINC01739-204|LINC01739|1005|",1,0,0,1,0
"ENST00000663274.1|ENSG00000286455.1|OTTHUMG00000194599.1|OTTHUMT00000519430.1|ENST00000663274|ENSG00000286455|1126|",1,0,0,0,0
"ENST00000455038.1|ENSG00000203605.3|OTTHUMG00000009144.1|OTTHUMT00000025342.1|ENST00000455038|ENSG00000203605|823|",1,0,1,0,0
"ENST00000690549.2|ENSG00000230798.7|OTTHUMG00000009138.1|OTTHUMT00000025325.1|FOXD3-AS1-216|FOXD3-AS1|590|",1,0,0,0,0
"ENST00000686286.1|ENSG00000230798.7|OTTHUMG00000009138.1|-|FOXD3-AS1-207|FOXD3-AS1|1247|",1,0,1,0,0
"ENST00000431294.7|ENSG00000230798.7|OTTHUMG00000009138.1|OTTHUMT00000025327.1|FOXD3-AS1-204|FOXD3-AS1|696|",1,0,1,0,0
"ENST00000692879.1|ENSG00000230798.7|OTTHUMG00000009138.1|-|FOXD3-AS1-219|FOXD3-AS1|460|",1,0,0,0,0
